Event,Round,Group,Timeframe,Amount of staff members
333mbf,Round 1,Group 1,Friday 09:45 - 10:45,60
333fm,Round 1,Group 1,Friday 13:20 - 14:20,51
555bf,Round 1,Group 1,Friday 16:10 - 17:30,67
333fm,Round 1,Group 1,Friday 19:15 - 20:15,51
333fm,Round 1,Group 1,Saturday 08:00 - 09:00,52
444bf,Round 1,Group 1,Saturday 10:00 - 11:00,66
333mbf,Round 2,Group 1,Saturday 15:15 - 16:15,63
